代理ID,Nickname,Phone,Name,Account,Username,Mobile,Contact
1,金傑克,jjk888,N/A,N/A,N/A,N/A,N/A
16,正式服王牌测试代理,cswp1111,N/A,N/A,N/A,N/A,N/A
51,國正,gz888,N/A,N/A,N/A,N/A,N/A
58,阿峰25,af888,N/A,N/A,N/A,N/A,N/A
64,共創共享,gcgs,N/A,N/A,N/A,N/A,N/A
87,至尊寶,zzb888,N/A,N/A,N/A,N/A,N/A
91,高岳,gy888,N/A,N/A,N/A,N/A,N/A
96,阿榮,ar888,N/A,N/A,N/A,N/A,N/A
107,玉米,ym888,N/A,N/A,N/A,N/A,N/A
133,阿泰,at888,N/A,N/A,N/A,N/A,N/A
137,李阿哥,lag888,N/A,N/A,N/A,N/A,N/A
139,丁力,di888,N/A,N/A,N/A,N/A,N/A
160,威利,wl888,N/A,N/A,N/A,N/A,N/A
226,阿榮40,ar40,N/A,N/A,N/A,N/A,N/A
231,阿賢,ax888,N/A,N/A,N/A,N/A,N/A
281,威利/套件,wl15,N/A,N/A,N/A,N/A,N/A
295,阿賢HK測試,axhkcs,N/A,N/A,N/A,N/A,N/A
315,高大電子,gd20,N/A,N/A,N/A,N/A,N/A
363,信忠,xz17,N/A,N/A,N/A,N/A,N/A
378,錦輪科技,jl20,N/A,N/A,N/A,N/A,N/A
383,宗翰,zh888,N/A,N/A,N/A,N/A,N/A
440,可好(小陳),kh20,N/A,N/A,N/A,N/A,N/A
456,阿峰八方,djaf888,N/A,N/A,N/A,N/A,N/A
466,鬥雞測試代理,djcsdl888,N/A,N/A,N/A,N/A,N/A
482,日亨電子,rhdz888,N/A,N/A,N/A,N/A,N/A
511,鬪雞珍姐,djzj888,N/A,N/A,N/A,N/A,N/A
520,鬪雞阿鴻,djah888,N/A,N/A,N/A,N/A,N/A
521,鬪雞阿祥,djax888,N/A,N/A,N/A,N/A,N/A
536,鬪雞阿榮代理,djar555,N/A,N/A,N/A,N/A,N/A
549,鬪雞阿林,djal888,N/A,N/A,N/A,N/A,N/A
560,丁力dl,dl20,N/A,N/A,N/A,N/A,N/A
567,鬪雞昌運代理,djcy80,N/A,N/A,N/A,N/A,N/A
620,鬪雞友友下線代理,djyy77,N/A,N/A,N/A,N/A,N/A
629,鬪雞阿賢代理,djax555,N/A,N/A,N/A,N/A,N/A
644,大合,dh888,N/A,N/A,N/A,N/A,N/A
658,鬪雞孟均,djmj888,N/A,N/A,N/A,N/A,N/A
668,張董,zd888,N/A,N/A,N/A,N/A,N/A
693,尚緯電子,sw888,N/A,N/A,N/A,N/A,N/A
725,好夢達,hmd888,N/A,N/A,N/A,N/A,N/A
731,富業電子,fydz888,N/A,N/A,N/A,N/A,N/A
819,鬪雞阿賢線上代理,djax1234,N/A,N/A,N/A,N/A,N/A
876,欣揚科技,xykj888,N/A,N/A,N/A,N/A,N/A
887,鬪雞育倫代理,ww6699,N/A,N/A,N/A,N/A,N/A
899,吳董,wd888,N/A,N/A,N/A,N/A,N/A
909,松都(阿賢行口),xd888,N/A,N/A,N/A,N/A,N/A
993,三重ACE,scace0857,N/A,N/A,N/A,N/A,N/A
1002,鬪雞賢一線,wbs01,N/A,N/A,N/A,N/A,N/A
1004,鬪雞三重溪尾,scsw01,N/A,N/A,N/A,N/A,N/A
1007,三重01專線,san01,N/A,N/A,N/A,N/A,N/A
1033,鬪雞亞虎代理,djyh999,N/A,N/A,N/A,N/A,N/A
1080,鬪雞代理福德,djfd7777,N/A,N/A,N/A,N/A,N/A
1102,鬪雞代理苗栗,djml678,N/A,N/A,N/A,N/A,N/A
1118,富山貿易,fsmy888,N/A,N/A,N/A,N/A,N/A
1133,順揚電子,sydz888,N/A,N/A,N/A,N/A,N/A
1158,鬪雞代理蝦皮,djxp666,N/A,N/A,N/A,N/A,N/A
1164,鬪雞鑫鑫代理,djxx666,N/A,N/A,N/A,N/A,N/A
1172,鬪雞俊英,djjy678,N/A,N/A,N/A,N/A,N/A
1200,偉哥,wg888,N/A,N/A,N/A,N/A,N/A
1205,鬪雞代理怡,djy777,N/A,N/A,N/A,N/A,N/A
1236,鬪雞小龍,djxl888,N/A,N/A,N/A,N/A,N/A
1243,Hp400代理,djhp666,N/A,N/A,N/A,N/A,N/A
1252,鬪雞阿倫代理,djal777,N/A,N/A,N/A,N/A,N/A
1254,台中鬪雞森代理,djds777,N/A,N/A,N/A,N/A,N/A
1315,鬪雞hp41,djhp41,N/A,N/A,N/A,N/A,N/A
1352,鬪雞267代理,dj267,N/A,N/A,N/A,N/A,N/A
1382,鬪雞西定代理,djcd678,N/A,N/A,N/A,N/A,N/A
1388,鬪雞台南線上代理,djtw678,N/A,N/A,N/A,N/A,N/A
1390,鬪雞台南代理,djtn999,N/A,N/A,N/A,N/A,N/A
1406,鬪雞代理正,djz999,N/A,N/A,N/A,N/A,N/A
1412,太陽城,tyc888,N/A,N/A,N/A,N/A,N/A
